country,disaster_risk,disaster_category,governance_risk,logistics_risk,news_risk,final_risk_score,risk_level
Afghanistan,0.3563985196140219,Medium Risk,0.954272785,1.0,0.0,0.5776678261535055,High Risk
Albania,0.336382556505526,Medium Risk,0.429236311,0.75,0.0,0.3789047168763815,Medium Risk
Algeria,0.3533354111745987,Medium Risk,0.609688005,0.75,0.0,0.4282558540436497,Medium Risk
American Samoa,0.3503611217247875,Medium Risk,0.206534081,0.5378787879008265,0.0,0.2736934976564035,Low Risk
Angola,0.2857865209672191,Low Risk,0.652662686,0.916666667,0.0,0.4637789684918048,Medium Risk
Anguilla,0.30126138628113486,,0.204997919,0.5378787879008265,0.0,0.2610345232954904,Low Risk
Antigua and Barbuda,0.3048260850156412,Low Risk,0.313210301,0.583333333,0.0,0.30034242975391034,Medium Risk
Argentina,0.3694891394965503,Medium Risk,0.526668986,0.625,0.0,0.38028953137413757,Medium Risk
Armenia,0.2998603186910851,Low Risk,0.544707191,0.75,0.0,0.39864187742277124,Medium Risk
Australia,0.3856615171127139,Medium Risk,0.120334234,0.25,0.0,0.18899893777817847,Low Risk
Austria,0.3287834583164577,Low Risk,0.139138138,0.125,0.0,0.14823039907911442,Low Risk
Azerbaijan,0.2821456398109027,Low Risk,0.560690844,0.5378787879008265,0.0,0.3451788179279323,Medium Risk
Azores Islands,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Bahamas,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Bahrain,0.0439352641514358,Low Risk,0.386360314,0.333333333,0.0,0.19090722778785896,Low Risk
Bangladesh,0.4089506261718195,Medium Risk,0.624661753,0.708333333,0.0,0.4354864280429549,Medium Risk
Barbados,0.2392947643206372,Low Risk,0.288615712,0.5378787879008265,0.0,0.266447316055366,Low Risk
Belarus,0.2625464026709967,Low Risk,0.695571446,0.666666667,0.0,0.40619612891774914,Medium Risk
Belgium,0.3236379697111499,Low Risk,0.226631553,0.125,0.0,0.16881738067778748,Low Risk
Belize,0.3430874288760181,Medium Risk,0.486473753,0.5378787879008265,0.0,0.34185999244421117,Medium Risk
Benin,0.1359518755395331,Low Risk,0.539435092,0.583333333,0.0,0.3146800751348833,Medium Risk
Bermuda,0.2230273605598539,Low Risk,0.212705241,0.5378787879008265,0.0,0.2434028473651701,Low Risk
Bhutan,0.1019823928860566,Low Risk,0.269306787,0.75,0.0,0.2803222949715142,Low Risk
Bolivia (Plurinational State of),0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Bosnia and Herzegovina,0.3400508061602824,Medium Risk,0.588871746,0.541666667,0.0,0.3676473047900706,Medium Risk
Botswana,0.2829052683967848,Low Risk,0.298643687,0.5,0.0,0.2703872388491962,Low Risk
Brazil,0.4195171153648045,Medium Risk,0.555281195,0.458333333,0.0,0.3582829108412011,Medium Risk
British Virgin Islands,0.2597235922419406,Low Risk,0.4632475918114286,0.5378787879008265,0.0,0.3152124929885489,Medium Risk
Bulgaria,0.3143010156871283,Low Risk,0.420034275,0.458333333,0.0,0.2981671559217821,Low Risk
Burkina Faso,0.3282629403707433,Low Risk,0.747449054,0.833333333,0.0,0.4772613318426858,Medium Risk
Burundi,0.2826798511671543,Low Risk,0.749119638,0.5378787879008265,0.0,0.39241956926699517,Medium Risk
Cabo Verde,0.241733540025787,Low Risk,0.34322703,0.5378787879008265,0.0,0.2807098394816534,Low Risk
Cambodia,0.3585029994256633,Medium Risk,0.540195407,0.791666667,0.0,0.4225912683564158,Medium Risk
Cameroon,0.2822437251618554,Low Risk,0.726225161,0.916666667,0.0,0.48128388829046387,Medium Risk
Canada,0.3696823274851334,Medium Risk,0.138234989,0.125,0.0,0.15822932912128335,Low Risk
Canary Islands,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Cayman Islands,0.3573228688191235,Medium Risk,0.156934014,0.5378787879008265,0.0,0.2630339176799875,Low Risk
Central African Republic,0.3189022846327116,Low Risk,0.919511755,0.75,0.0,0.4971035099081779,Medium Risk
Chad,0.3385973190839312,Medium Risk,0.812319305,0.5378787879008265,0.0,0.4221988529961894,Medium Risk
Chile,0.397131255169219,Medium Risk,0.329935955,0.541666667,0.0,0.3171834692923048,Medium Risk
China,0.4852293457478105,Medium Risk,0.441092845,0.25,0.0,0.29408054768695263,Low Risk
"China, Hong Kong Special Administrative Region",0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
"China, Macao Special Administrative Region",0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Colombia,0.3789005492930821,Medium Risk,0.554240227,0.583333333,0.0,0.37911852732327056,Medium Risk
Comoros,0.2824122827116531,Low Risk,0.706327908,0.5378787879008265,0.0,0.3816547446531199,Medium Risk
Congo,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Cook Islands,0.30126138628113486,,0.408664851,0.5378787879008265,0.0,0.31195125629549036,Medium Risk
Costa Rica,0.3376516958771318,Medium Risk,0.317211003,0.583333333,0.0,0.309549007969283,Medium Risk
Croatia,0.3587783777274934,Medium Risk,0.314148993,0.416666667,0.0,0.2723985094318734,Low Risk
Cuba,0.3978285510654622,Medium Risk,0.496147707,0.875,0.0,0.44224406451636555,Medium Risk
Curaçao,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Cyprus,0.2354064822707855,Low Risk,0.305569097,0.458333333,0.0,0.2498272280676964,Low Risk
Czechia,0.3628705496013008,Medium Risk,0.186597108,0.416666667,0.0,0.2415335811503252,Low Risk
Côte d’Ivoire,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Democratic People's Republic of Korea,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Democratic Republic of the Congo,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Denmark,0.2737099675375439,Low Risk,0.059103503,0.083333333,0.0,0.10403670088438598,Low Risk
Djibouti,0.1523696679360903,Low Risk,0.646407727,0.666666667,0.0,0.36636101548402256,Medium Risk
Dominica,0.3865141855222274,Medium Risk,0.27307416,0.5378787879008265,0.0,0.2993667833557635,Low Risk
Dominican Republic,0.3472499793476271,Medium Risk,0.431836568,0.708333333,0.0,0.37185497008690677,Medium Risk
Ecuador,0.3612217240222053,Medium Risk,0.598497819,0.5378787879008265,0.0,0.37439958273075796,Medium Risk
Egypt,0.2711749882219612,Low Risk,0.557443893,0.5,0.0,0.3321547203054903,Medium Risk
El Salvador,0.3684233826778667,Medium Risk,0.477435772,0.666666667,0.0,0.3781314554194667,Medium Risk
Equatorial Guinea,0.1098594877153921,Low Risk,0.689215382,0.5378787879008265,0.0,0.33423841440405466,Medium Risk
Eritrea,0.1358830243434495,Low Risk,0.808682224,0.5378787879008265,0.0,0.37061100906106903,Medium Risk
Estonia,0.2567777262618001,Low Risk,0.17617695,0.291666667,0.0,0.18115533581545,Low Risk
Eswatini,0.2057531939075412,Low Risk,0.602615395,0.5378787879008265,0.0,0.33656184420209195,Medium Risk
Ethiopia,0.3772783659120517,Medium Risk,0.731444953,0.5378787879008265,0.0,0.41165052670321955,Medium Risk
Fiji,0.3590678882861014,Medium Risk,0.324906732,0.833333333,0.0,0.37932698832152534,Medium Risk
Finland,0.0572404374437525,Low Risk,0.088333544,0.041666667,0.0,0.04681016211093812,Low Risk
France,0.3779464342539934,Medium Risk,0.23216506,0.166666667,0.0,0.19419454031349834,Low Risk
French Guiana,0.30126138628113486,,0.234447131,0.5378787879008265,0.0,0.26839682629549033,Low Risk
French Polynesia,0.2289673282149882,Low Risk,0.4632475918114286,0.5378787879008265,0.0,0.30752342698181084,Medium Risk
Gabon,0.1173490296314442,Low Risk,0.614752432,0.791666667,0.0,0.38094203215786104,Medium Risk
Gambia,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Georgia,0.3296357182904083,Low Risk,0.399422102,0.666666667,0.0,0.3489311218226021,Medium Risk
Germany,0.38036653106455,Medium Risk,0.17837697,0.083333333,0.0,0.1605192085161375,Low Risk
Ghana,0.2712930042961198,Low Risk,0.469001321,0.75,0.0,0.37257358132402996,Medium Risk
Greece,0.3415826692340759,Medium Risk,0.402059706,0.25,0.0,0.248410593808519,Low Risk
Grenada,0.3624568996856043,Medium Risk,0.318590172,0.75,0.0,0.3577617679214011,Medium Risk
Guadeloupe,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Guam,0.3545798440894135,Medium Risk,0.246397449,0.5378787879008265,0.0,0.28471402024756,Low Risk
Guatemala,0.3766340370620203,Medium Risk,0.633547685,0.708333333,0.0,0.4296287637655051,Medium Risk
Guinea,0.1327208511111505,Low Risk,0.689656794,0.75,0.0,0.39309441127778766,Medium Risk
Guinea-Bissau,0.1277873972521157,Low Risk,0.714049006,0.708333333,0.0,0.3875424340630289,Medium Risk
Guyana,0.3241050699051315,Low Risk,0.508268855,0.791666667,0.0,0.4060101479762829,Medium Risk
Haiti,0.3978015444231261,Medium Risk,0.864126953,0.916666667,0.0,0.5446487911057815,High Risk
Honduras,0.3422645463881034,Medium Risk,0.644444557,0.583333333,0.0,0.39251060909702584,Medium Risk
Hungary,0.3132971571156782,Low Risk,0.325587863,0.458333333,0.0,0.27430458827891957,Low Risk
Iceland,0.2526017623018728,Low Risk,0.082500317,0.291666667,0.0,0.15669218657546818,Low Risk
India,0.4599333705645241,Medium Risk,0.44909381,0.375,0.0,0.321006795141131,Medium Risk
Indonesia,0.4101499984696652,Medium Risk,0.449590941,0.541666667,0.0,0.3503519016174163,Medium Risk
Iran (Islamic Republic of),0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Iraq,0.3142509885779119,Low Risk,0.902937403,0.791666667,0.0,0.502213764644478,High Risk
Ireland,0.275468899327821,Low Risk,0.112404696,0.291666667,0.0,0.16988506558195524,Low Risk
Israel,0.3380537390078986,Medium Risk,0.413276907,0.291666667,0.0,0.2607493282519746,Low Risk
Italy,0.3760910911231558,Medium Risk,0.321235229,0.25,0.0,0.23683158003078897,Low Risk
Jamaica,0.3790985660090957,Medium Risk,0.400687271,0.75,0.0,0.38244645925227394,Medium Risk
Japan,0.4285829115034658,Medium Risk,0.113119436,0.166666667,0.0,0.17709225362586645,Low Risk
Jordan,0.1131785048307535,Low Risk,0.41517635,0.5378787879008265,0.0,0.266558410682895,Low Risk
Kazakhstan,0.297976235868632,Low Risk,0.498527036,0.666666667,0.0,0.365792484717158,Medium Risk
Kenya,0.3599711750362445,Medium Risk,0.580212115,0.5378787879008265,0.0,0.36951551948426775,Medium Risk
Kiribati,0.0989050350950287,Low Risk,0.320698202,0.5378787879008265,0.0,0.2393705062489638,Low Risk
Kuwait,0.0454941731628079,Low Risk,0.389203982,0.458333333,0.0,0.22325787204070197,Low Risk
Kyrgyzstan,0.30126138628113486,,0.660597944,0.833333333,0.0,0.44879816582028376,Medium Risk
Lao People's Democratic Republic,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Latvia,0.2406105972251502,Low Risk,0.260211294,0.333333333,0.0,0.20853880605628755,Low Risk
Lebanon,0.3827378128331189,Medium Risk,0.801774391,0.5378787879008265,0.0,0.4305977479334864,Medium Risk
Lesotho,0.1502729582426222,Low Risk,0.594325071,0.5378787879008265,0.0,0.3206192042858622,Medium Risk
Liberia,0.1292660043184811,Low Risk,0.657076343,0.791666667,0.0,0.39450225357962027,Medium Risk
Libya,0.365388435049612,Medium Risk,0.909329791,1.0,0.0,0.568679556512403,High Risk
Liechtenstein,0.023601459607735,Low Risk,0.044494909,0.5378787879008265,0.0,0.1514937891271404,Low Risk
Lithuania,0.1806432252687973,Low Risk,0.200080949,0.375,0.0,0.18893104356719934,Low Risk
Luxembourg,0.2263229050936169,Low Risk,0.063604172,0.291666667,0.0,0.14539843602340424,Low Risk
Madagascar,0.3566137244476422,Medium Risk,0.672296557,0.833333333,0.0,0.4655609036119106,Medium Risk
Malawi,0.3653285460260956,Medium Risk,0.554170693,0.5378787879008265,0.0,0.3643445067317306,Medium Risk
Malaysia,0.3573922690824168,Medium Risk,0.31868158,0.291666667,0.0,0.24193512902060418,Low Risk
Maldives,0.3214233430597299,Low Risk,0.424846061,0.5378787879008265,0.0,0.3210370479901391,Medium Risk
Mali,0.3274578574533166,Low Risk,0.849496945,0.708333333,0.0,0.47132203386332916,Medium Risk
Malta,0.0492579968909115,Low Risk,0.290586009,0.416666667,0.0,0.18912766822272786,Low Risk
Marshall Islands,0.4556264377034163,Medium Risk,0.29270828,0.5378787879008265,0.0,0.32155337640106074,Medium Risk
Martinique,0.30126138628113486,,0.299420984,0.5378787879008265,0.0,0.28464028954549037,Low Risk
Mauritania,0.2657701489431404,Low Risk,0.608026373,0.833333333,0.0,0.4267824637357851,Medium Risk
Mauritius,0.2714404109458481,Low Risk,0.263225224,0.75,0.0,0.321166408736462,Medium Risk
Mayotte,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Mexico,0.410045737387753,Medium Risk,0.585791855,0.583333333,1.0,0.6447927313469383,High Risk
Micronesia (Federated States of),0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Mongolia,0.3228362318615109,Low Risk,0.456631031,0.75,0.0,0.38236681571537773,Medium Risk
Montenegro,0.1064768291753385,Low Risk,0.428899315,0.625,0.0,0.29009403604383466,Low Risk
Montserrat,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Morocco,0.3689373322537916,Medium Risk,0.495065831,0.5378787879008265,0.0,0.35047048778865453,Medium Risk
Mozambique,0.3763460954165059,Medium Risk,0.698846909,0.5378787879008265,0.0,0.4032679480793331,Medium Risk
Myanmar,0.3897242291319214,Medium Risk,0.902866889,0.5378787879008265,0.0,0.45761747650818696,Medium Risk
Namibia,0.3236585155421993,Low Risk,0.367535443,0.583333333,0.0,0.3186318228855498,Medium Risk
Nepal,0.3822029658373234,Medium Risk,0.574384029,0.5378787879008265,0.0,0.37361644568453745,Medium Risk
Netherlands (Kingdom of the),0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Netherlands Antilles,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
New Caledonia,0.228530393815651,Low Risk,0.4632475918114286,0.5378787879008265,0.0,0.3074141933819765,Medium Risk
New Zealand,0.3792838689551717,Medium Risk,0.073988109,0.291666667,0.0,0.18623466123879293,Low Risk
Nicaragua,0.3435436642706267,Medium Risk,0.655883296,0.75,0.0,0.4373567400676567,Medium Risk
