date,AED,ALL,ARS,AUD,BDT,BGN,BHD,BOB,BRL,CAD,CHF,CLP,CNY,COP,CZK,EGP,ETB,EUR,GBP,HKD,HUF,IDR,INR,ISK,JMD,JPY,KES,KHR,KRW,KWD,KZT,LAK,LKR,MAD,MMK,MNT,MXN,MYR,NGN,NOK,NZD,OMR,PEN,PHP,PLN,PYG,QAR,RON,RUB,SAR,SGD,THB,TRY,TTD,TWD,TZS,UAH,UGX,VND,ZAR
1/2/2001,3.67246,144.950653,1.000922,1.788552,54.834766,2.072782,0.37649,6.450175,1.942145,1.495249,1.607756,577.646042,8.274961,2229.491643,37.345011,3.891815,8.299692,1.055751,0.66885,7.799924,280.030244,9401.683042,46.797607,84.633344,45.506527,114.690472,78.210151,3869.574446,1278.005998,0.305982,146.904383,7668.5026,82.968153,10.560809,6.585164,1105.911069,9.725061,3.79999,112.860023,8.795995,2.261237,0.384497,3.540015,50.872891,4.099013,3581.56638,3.64,2.605978,28.665765,3.749765,1.736788,43.820063,0.671478,6.2505,33.014842,817.214263,5.484241,1730.361881,14698.82203,7.568182
1/9/2001,3.67246,142.778428,1.001631,1.778438,54.651633,2.073093,0.376415,6.46644,1.946426,1.496551,1.618069,576.333562,8.274697,2233.608692,37.253622,3.823114,8.287523,1.061513,0.671132,7.799956,280.8661,9414.15108,46.688211,84.682481,45.354537,116.314926,79.018747,3856.579087,1267.989161,0.306048,146.28231,7642.708223,83.129183,10.597543,6.488671,1081.055207,9.759083,3.800792,112.668865,8.773272,2.241356,0.384497,3.528145,51.043775,4.133284,3579.619189,3.64,2.603768,28.496756,3.75047,1.732632,43.145865,0.672513,6.2505,32.693357,812.475269,5.466121,1835.017551,14656.63227,7.700316
1/16/2001,3.67246,143.000425,0.999828,1.800304,54.36581,2.075751,0.37656,6.441351,1.952476,1.504329,1.635917,572.22404,8.274529,2257.432494,37.59348,3.802585,8.245644,1.063909,0.680627,7.799814,280.587133,9384.215289,46.53015,85.019125,45.168721,117.694133,78.837352,3836.527837,1283.007823,0.30587,145.110497,7603.144921,85.003393,10.595835,6.521249,1098.363791,9.953286,3.800798,112.452189,8.737224,2.245352,0.384497,3.520446,52.917776,4.09541,3563.079048,3.64,2.629264,28.384934,3.75047,1.734137,43.185272,0.668632,6.2505,32.678287,807.240756,5.435402,1865.61836,14585.63536,7.817119
1/23/2001,3.67246,142.29191,0.999095,1.806353,54.159668,2.068079,0.376735,6.4199,1.958444,1.507741,1.631005,566.58905,8.275209,2239.037098,37.437192,3.848964,8.208781,1.064924,0.6797,7.79978,282.699435,9308.947663,46.335384,85.553311,45.010418,117.072527,78.624019,3823.067928,1273.252649,0.306555,144.612523,7576.506857,85.213854,10.581163,6.524397,1095.439566,9.764385,3.799913,112.082492,8.802098,2.238509,0.384497,3.520283,49.383637,4.096099,3568.555331,3.64,2.640672,28.365366,3.75047,1.741836,43.03955,0.674173,6.2505,32.566942,804.422239,5.413947,1844.041671,14548.42139,7.853407
1/30/2001,3.67246,145.482222,1.00231,1.830324,54.777862,2.125432,0.37613,6.490269,1.974688,1.501438,1.648429,565.789121,8.275216,2241.061069,37.733534,3.869409,8.307926,1.080467,0.684233,7.799581,287.653973,9381.564416,46.514836,86.289007,45.507992,116.157655,78.854707,3865.423508,1265.553601,0.30677,146.334674,7660.345765,90.252327,10.742634,6.617484,1107.730782,9.673941,3.799985,112.200718,8.888059,2.281534,0.384497,3.551415,49.712733,4.12341,3623.224965,3.64,2.648566,28.532402,3.749765,1.746689,42.730638,0.68136,6.2505,32.354267,820.379472,5.47298,1819.180167,14711.42764,7.833006
2/6/2001,3.67246,143.109848,0.999069,1.822712,54.204033,2.102829,0.37659,6.450225,1.997719,1.510252,1.653487,562.887072,8.274526,2228.103147,37.18335,3.871702,8.228706,1.074631,0.684495,7.799912,284.90744,9711.475542,46.34037,85.239219,45.082815,114.808315,78.140472,3825.123364,1257.001288,0.304793,144.829436,7580.229564,87.182987,10.615963,6.503862,1096.084531,9.707583,3.801343,114.698563,8.773444,2.260074,0.384497,3.525125,48.695728,4.070908,3600.289637,3.64,2.652208,28.463688,3.75047,1.743168,42.425735,0.678894,6.2505,32.268194,815.80133,5.453229,1835.346492,14562.86205,7.79172
2/13/2001,3.67246,142.653369,0.998175,1.868239,53.992453,2.107235,0.376745,6.437736,1.979856,1.522902,1.664434,554.544886,8.274494,2223.283592,37.253518,3.873605,8.196442,1.085078,0.688301,7.799944,286.215634,9705.401618,46.521893,85.606469,44.907062,116.940577,78.115113,3810.134771,1254.159479,0.305432,144.680323,7550.716981,87.211995,10.664852,6.556119,1092.420485,9.702076,3.800258,113.746631,8.87764,2.297693,0.384497,3.51912,47.607782,4.074501,3660.754717,3.64,2.676872,28.615688,3.75047,1.744726,42.45069,0.679171,6.2505,32.315567,812.61779,5.39407,1827.849057,14506.95418,7.880067
2/20/2001,3.67246,146.023153,1.001116,1.910005,54.659978,2.154853,0.376425,6.507828,2.007648,1.538456,1.68864,565.345848,8.274552,2245.036113,38.039158,3.89895,8.296803,1.099455,0.693437,7.799941,293.262048,9749.120728,46.664147,86.957001,45.462955,115.615332,78.664969,3857.24366,1233.720886,0.307229,146.148842,7644.200662,85.644212,10.812569,6.628335,1105.336273,9.694593,3.799898,119.614112,9.059142,2.339082,0.384497,3.534021,47.716259,4.11301,3731.201764,3.64,2.681336,28.7914,3.75047,1.739797,42.773969,0.691282,6.2505,32.315191,825.697905,5.460639,1759.933848,14695.4796,7.776427
2/27/2001,3.67246,145.050748,1.000237,1.904043,54.448325,2.125202,0.376315,6.480192,2.03632,1.528361,1.678729,569.024338,8.275028,2269.131298,37.796665,3.869161,8.265524,1.092304,0.693189,7.799921,291.514789,9912.782386,46.685406,86.598276,45.60406,116.208667,78.265691,3842.387864,1248.160846,0.306644,145.789589,7614.907781,87.080269,10.75974,6.63298,1100.109135,9.680072,3.799847,118.216741,8.987846,2.309883,0.384497,3.528714,48.32252,4.093092,3761.977518,3.64,2.699247,28.786642,3.75047,1.741266,42.868725,1.024315,6.2505,32.381728,828.522318,5.438721,1778.194914,14646.07661,7.730517
3/6/2001,3.67246,144.7656,1.001786,1.930509,54.752452,2.109125,0.376315,6.528505,2.024664,1.540408,1.653218,590.104282,8.274923,2276.249409,37.480819,3.870068,7.653842,1.073102,0.681682,7.800107,286.616093,9933.88835,46.58322,86.022201,45.843087,118.721524,78.260739,3863.864641,1265.501281,0.30672,146.835866,7657.279879,85.416204,10.688706,6.488846,1107.360707,9.657145,3.789006,119.37601,8.850429,2.326796,0.384497,3.528459,47.747553,3.982541,3795.98017,3.64,2.715504,28.795075,3.75047,1.754771,43.51373,0.881112,6.2505,32.426419,838.22718,5.462873,1722.707188,14718.61192,7.865056
